Name,Description
Date,News_date
Label,Stock_market_movement
Top1,Top_news_headline1
Top2,Top_news_headline2
Top3,Top_news_headline3
Top4,Top_news_headline4
Top5,Top_news_headline5
Top6,Top_news_headline6
Top7,Top_news_headline7
Top8,Top_news_headline8
Top9,Top_news_headline9
Top10,Top_news_headline10
Top11,Top_news_headline11
Top12,Top_news_headline12
Top13,Top_news_headline13
Top14,Top_news_headline14
Top15,Top_news_headline15
Top16,Top_news_headline16
Top17,Top_news_headline17
Top18,Top_news_headline18
Top19,Top_news_headline19
Top20,Top_news_headline20
Top21,Top_news_headline21
Top22,Top_news_headline22
Top23,Top_news_headline23
Top24,Top_news_headline24
Top25,Top_news_headline25
